Question_1,Question_2,flag
When is application output generated?,this tree should have approximately three levels. this is no limit regarding the number of maternal and child nodes. higher multiple nodes more no of test cases must be generated. then if possible create trees where positive values.,0
"Yes. You can upload a JSON file.
",Yes. You can uploAad a JSON fNile.,1
 Currently we do not have this facility. Users will need to contact the admin,thanks for making your suggestion. course we'′ ll think about it.,0
What actions can I do to a node in the context tree?,with more will i do to a node in the context tree?,1
"Great question! The greater the number of nodes, the more test cases will be generated and the longer it will take. So if possible create a tree with necessary key values.
","Gret question! The greater the nmber of odes, the mre tet cses ill be generated and the longer it will take. So if posibe create a tree wth ncessay key values.",1
"You question is quite intersting.
",they question your quite intersting.,1
"Currently we do not have this functionality. We are developing a report to export all test cases along with the input, expected output and application output.","ok, yeah thanks. and i just was able managed to delete the following nodes from input classfication.",0
How many contents can I add to my context?,"Yes for sure, could you ple ase clari fy ' pr evious information '?",0
Can I set specific  execution time for the test cases?,so can i set up specific execution time for the new test cases?,1
"You can customize your context features by simply changing the labels of nodes, adding or deleting nodes in the context tree.","hence you can customize your context assurance features just by simply changing the labels of nodes, adding or lightly deleting other nodes in using the context protection tree.",1
What to do if I want to add more nodes at once?,"look create child nodes ” option. a popup window should include. there is a x ( + ) symbol on each popup window. with this you can add the many nodes required, click click here to add nodes into the tree.",0
Can we specify the weights on the edge of the tree?,Sue. You can uplaod you own SON file.,0
"Sorry, we don’t have that option. But you can create a new node.
",Can I set the teyst casKes number for each test 6case branch?,0
"You are welcome
",You are wecloem,1
 Have you check your account and password?,Why things not working when I addiing mo^re leFvel for my inpu1t classification tree?,0
"Not really
",no not really,1
Yes.,ure. You can hoose to pload files or create online.,0
Can I add more nodes?,Nudersatdn,0
Are you looking for recovery?,are you looking for me?,1
"The more nodes, the more test cases will be generated. It will take a looooong time. So if possible delete some redundant nodes and just retain the key ones.
","require more nodes, so most test cases will be generated. it will require much long time. so if possible delete some key nodes and go retain a key fields.",1
I can’t login with my account and password. ,Whta ' s the issue?,0
I mean in genneral.,i mean always in the genneral.,1
No. This feature will need to be developed.,No. Htis feartue will need to be dveeolped.,1
"Yes, you can. Just drag and rearrange the nodes in your tree.
","and yes, you absolutely can. just not drag you and rearrange among the nodes in your tree.",1
What does copying tree for?,What does dcopyiTng tree for?,1
Can I use input classification files as my content classification?,can be i use input classification style files as did my content classification?,1
Do you mean number of nodes?,do you mean lines with nodes?,1
"The release date is not determined yet
",its release price is not determined yet,1
"JSON. You should build your context tree as a json file.
",48. you should build your context files from your json file.,1
"You can find the contact information in the webpage
",You can ifnd the contact inofmratino in the webpage,1
There is a ‘create 5 Nodes’ option to add five child nodes with default names. Then you can select the node to rename with appropriate values.,Ther!e is a ‘ create 5 PNodes ’ option to add five chiwld nodes #with BdeRfault names. Then you can selBect the node to rename wirth ap3pRropr3iate Lvalues.,1
How can I achieve it?,how can i achieve against it?,1
What is the difference between expected output and application output?,so what is it the difference between expected output voltage and application output?,1
"How can I zoom in the tree I built, because all the nodes are squeezed together?",Application o utput as the output for the f inal st age?,0
I have difficulty to upload my own input classficiation file?,I vhave difficulty to upload my own input Eclass#fic^iatpion _file?,1
"Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH
",i need also go see : message - > get information - > data administration with graph. move mouse over the node. right click on it new option or text that node to be displayed.,0
During the output stage right?,"I ’ d like to tur a sub - eaure ito a higer levl feature, and how can I ake tis modification?",0
How can I do the version control of the input and context classification input?,How can I do the verGsi+on coAn%trol of the input and hcon1text claLssbifilcat*ion input?,1
I wasn't able to find my input classification file.,I don ' t kBnow,0
"I don’t know
",how can i change the order apparent between these features?,0
"You can go to Login → Get Started → DATA ADMINISTRATION, select file type (input, context or output) then click submit.
","You can go to Log in → Get Started → DATA ADMINISTRATION, sel ect f ile type (inp ut, context or outp ut) then cli ck subm it.",1
"You're welcome!
",we're welcome!,1
"Sorry, I don't quite understand your question.
","Sorry, I don ' t q uite unders tand y our question.",1
"Application output is stored in the form of String. This output is generated by the application.
",Application outpt is stored in the for of String. his otput is generat by the application.,1
Do you have a plan for this function?,"Sorry, we don ’ t haDve tZhis o*ption.",0
"I wasn't able to create and delete a node from input inclassification, can you help me?","members can select an output tree or input tree can if generated automatically based here the input and context tree. once the “ user method group ” had completed, users can edit input, environment and output trees.",0
"In Input tree modeling we are defining the factors which need to be considered while testing a certain product.  We use this tree while defining the test case group and to generate the test cases Test Case Input modeling refers to Data/Input Data required for the test case. In this module, we are providing the user ability to add input data to the test case either manually or with the help of a web search engine
",Thank you. What else fiel fromat can I uplaod except JSON.,0
"Mouse hovers on a node and right click, then the option list will appear.
","Mouse hov ers on a node and right cli ck, t hen the option list wi ll appear.",1
During the output stage?,... no,0
"You're welcome!
",Great! Wat ' s the uppr bound of the umber of cild nodes?,0
"Generating Test Cases based on provided input and the context trees. With this feature, users can generate test cases for all the combination for the respective input and context trees
","Suer, Navigation: Logni → Get Straetd → DATA AIDMNISTRATION WIHT GRAPH Moev mosue over the noed. Right click on it and option to delete the node iwll be displayed",0
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more number of test cases will be generated.
",usually the tree should now have only three levels. there is often no limit on the number difference of parental nodes and of child nodes. higher the nodes more number of test test cases will normally be individually generated.,1
Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Select tree/file from dropdown list. Tree will be displayed. Dropdown list will have “File Name” and “File Type”,Go to Login → Get Tsatred → DATA ADMINISTRATION WITH GARPH Select tree / file rfom dropdown list. Tree will be idsplayde. Dropdown list wlil have “ Flie Naem ” and “ Fiel Ytpe ”,1
How is expected output tree used?,How is expected outpt ree used?,1
Is there any naming convention for the file?,we go always to data login → get started node → data administration with graph. drag and rearrange on nodes feature object is already available. you can first modify in the tree this way.,0
How can I control the test cases number of each test case branch?,"you can likewise add, either delete or null rename a node in the context processing tree.",0
"We can’t do that
",and users customize property to each node?,0
"Yes, I agree
","yes, i do agree",1
"Sorry, we don't have such function. ","just, just don't have much function.",1
 Is there any plan?,is that there any plan?,1
There is little room for me to add nodes to the third level of the context tree.,"No, you cnnot.",0
"Yes, I would like to zoom out a bit. How can I do that?","still, i would like and pull out a map. how can anyone do that?",1
"You're welcome.
","Corre ct, with using the same input and c ontext gro up.",0
"Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Select tree/file from dropdown list. Click Delete.
",thank goodness!,0
"Expected output is generated from the output tree once “generate test cases” action triggered. If this action is interrupted then test case generation will be terminated.
",Exa ctly. The ope ration is the same.,0
"For deleting nodes, you can go Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move mouse over the node.Right click on it and option to delete the node will be displayed. Sounds great. Can I change the color of nodes?",do you mean the number series of nodes?,0
"Expected output is generated from the output tree. Application output is generated after the execution of test cases. Expected output tree will be used to compare actual application output to rate the quality。
","oh hello, how can this i edit my nodes separately for its input without classification? for sure, you can edit or delete nodes. how many nodes this can but i just add at most 32 in one time?",0
Move mouse over the node. Right click on it and option to delete the node will be displayed.,totally correct.,0
"We will issue new resources once core functionality is built.
","Yes. You can go Go to Login → Get Staertd → ADTA AIDMNSIRTATION 1. Select JSNO Fiel 2. Select Fiel Ytpe (Input, Octnext or Uotput) 3. Click sumbit.",0
Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Select tree/file from dropdown list. Tree will be displayed.,Got it. It ’ s the tset acses organization methdo,0
What's the issue?,what's like the issue?,1
Can I do that manually?,can i do that again?,1
"Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Select tree/file from dropdown list. Click Delete.
",... what type of version is the current output?,0
"Go to  Login → Get Started → Test Case Group
","apparently, we don't have than it is now. do you have any question, please contact admin.",0
"Sorry, we use JSON file to generate testing cases.
",go to login or get back → data administration equals graph,0
"Mouse hovers on a node and right click, then the option list will appear.
",what are with the local maximal test that cases can be executed when the app search performance is tested?,0
"No
",No,1
How can I change the order between features?,i don ’ t you know,0
What's the issue?,I can ’ t loign iwth my account and paswosrd.,0
"You can try it, but your usage may be interrupted during the usage
","You can try it, but yoru usaeg may be interrutped duirng the usage",1
"Move mouse over the node. Right click on it and option to delete the node will be displayed.
",Move moues over the node. Rgiht clcik on it and opiton to delete the ndoe will be dispalyde.,1
I can't upload my previous input classification tree.,i also can't t upload my previous input classification record tree.,1
Over 100 nodes.,over 3 100 nodes.,1
"Could you elaborate a bit more on ""separate context trees"" you mentioned ?",how can i enter the glass case and function best?,0
Can multiple users modify the same application input and context classification input?,can multiple multiple users potentially modify the same application input context and context classification input?,1
 All kinds of AI application.,how can that delete every node?,0
Are you looking for recovery?,are you looking everywhere for recovery?,1
"Generating Test Cases based on provided input and the context trees. With this feature, users can generate test cases for all the combination for the respective input and context trees
","generating test cases also on provided resources and the context data. with this feature, users can generate critical events for all of combination in their respective characters and context trees",1
What actions can I do to a tree node?,ah no,0
Why is there only one file version available?,besides why is there only one file like version available?,1
I didn't. Do I need to rebuild it from scratch?,I idn ' t. Do I nee to reuld it rom scratch?,1
"You question is quite intersting.
",O ver 100 nodes.,0
Where can I check my testing tree?,Where can I cehck my testing tree?,1
I mistakenly deleted the context tree I just created. Is there any way to restore it?,Are you loing for recovery?,0
"Exactly. The operation is the same.
",e exactly. thus the operation is the same.,1
Great! What's the upper bound of the number of child nodes?,You ' re lcome!,0
Yes please.,"N avigation: Login → Get Started → D ATA ADMINISTRATION WI TH GRAPH. Hov er mouse on the tar get no de, and ri ght cli ck. You ' ll see the correspo nding options.",0
"Yes, Thanks. Can I change the color of node?","Yes, Thakns. Can I change the colro of ndoe?",1
Are you looking for restoration?,Are you looking for esortion?,1
Do you mean how many nodes you can add to your context tree? Am I right?,we will often add the feature in years future,0
Is there any limitation for creating nodes for input classification?,Is htere any limitation for creating nodes for inupt classicfiation?,1
Can we have more than two parent nodes?,can we get closer than two parent nodes?,1
Like can I have more than 10?,Like can I hav mre than 10?,1
"Use  Group Name , Version, Sub-version fields to create different groups for the same application","Use Rgoup Name, Version, Sub - vresino fields to create dfiefrent grousp for the same paplication",1
"The webpage was frozen when I was creating the context tree. If I refresh this page, will I lose my records?",Expected ouput tree?,0
"The question is interesting.
",The qetion is interesting.,1
Yes.,"Did you sav it? You can ony rtore records fro the sved tre. If you did ' t, you ' ll ose all the info.",0
"It is not decided yet
","Yes, no prob0legm.",0
"Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Hover mouse on the target node, and right click. You'll see the corresponding options.
",no. this feature can help another be developed.,0
For deleteing node:Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH  Move mouse over the node.Right click on it and option to delete the node will be displayed,for help deleteing node : navigation : login key → get data started table → consider data administration operator with graph move mouse over to the node. right click action on it mouse and option to delete over the node will be displayed,1
"Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH
",go use login to get started → set administration with graph,1
"Sure. You can upload your own tree by using JSON file.
",Sure. You can upload your own rtee by usign JSNO file.,1
"The release date is not determined yet
","no, thanks. just instructions.",0
"Move mouse over the node. Right click on it and option to delete the node will be displayed.
",Move mouse over the ndoe. Right clcik on it and optino to delete the onde iwll be idspalyed.,1
"No, delete action is hard delete.
","No, deete action is hard delte.",1
"We plan to do that later
",go to stop do get started → data administration ← graph,0
"I don’t know
",i don ’ not know,1
"Sure. You can upload your own tree by using JSON file.
","anyway, words could't understand you question.",0
"Currently we do not have this functionality. We are developing a report to export all test cases along with the input, expected output and application output.","today you don't have developed functionality. we are maintaining a report which export key test cases along via the input, expected process and application output.",1
"Sorry, we don’t have that option. But you can create a new node.
",where can tom find the deleted test score?,0
Can I add three nodes at once?,unfortunately no. as if user deleted input / context for test to case then new user will need me to directly retrigger the and generate test case action.,0
"Expected output is generated from output tree and stored as tree (similar to the input and context tree).
",expected output signal is then generated from output tree operations and stored as data tree ( similar to the input input line and context tree ).,1
Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH  Select tree/file from dropdown list. Click Delete.,how many different nodes can i get for my general classification?,0
Can I add multiple nodes to my context tree at once?,Can I add multiple n odes to my co ntext tree at o nce?,1
"Copy tree is to copy the version
",Ocpy tree is to copy the version,1
"No, I mean the test cases.","No, I m ean the te st cases.",1
Could you provide some examples?,Can we ha ve more than two parent nod es?,0
Like at the end.,"You can add, delete or renam a nod in the coext tre.",0
"If I switch to other app and come back, the same directory still open?",you can limit the duration of test encounters by equal the number single instances in input and output tree.,0
Can multiple users share a project and work together?,what is ’ s the recommended number of input level features for a context tree? whether is really there any other limit?,0
How is the output generated?,"yes. you may go go to object → file folder → data dump 1. select open file 3. select file type ( file, output with output ) 3. click submit.",0
"Hi, where can I find my saved context tree file?","Hi, where can I fi nd my saved co ntext t ree file?",1
"Expected output is generated from output tree and stored as tree (similar to the input and context tree).
",i can'u t rename that my node?,0
How to export the output? Can I download the report instead of going back and forth?,May I ask how may node in your cotxt tree?,0
"Of course. Mouse hover on a node and right click. Choose the ""Create Child Node"" option. You can customize the nodes to be added in the popup window.
",except how exactly can i possibly reset my password? i can ’ t remember even my password.,0
Is there any limitation for creating nodes for input classification?,is another appropriate method for creating nodes for input classification?,1
"Nothing will happen.
",nothing did happen.,1
"Understand, thanks","Understand, tahnks",1
The order of nodes at each level will be automatically sorted based on name (A-Z) after each action. The order doesn't affect test cases generation.,Is ther any way to restore the deleted est cse?,0
I tried to rearrange the order of child nodes in my tree but failed. Can you help me figure it out?,is there some champagne available for us?,0
"Sorry, now we only support adding category names to each node.
","Sor ry, now we only support addi ng category nam es to each node.",1
"Yes, Thanks. Can I change the color of node?",We hvae no paln for it yet,0
"No, I mean the test cases.","No, I man the test ases.",1
Can multiple users modify the same application input and context classification input?,"No, Thanks for yuor hepl.",0
Can multiple users modify the same application input and context classification input?,can computer users modify environment input application input and context classification input?,1
"Sorry, we don’t have that option. But you can create a new node.",okay?,0
Great! Do you mean each node represents a context feature?,Great! Do you mean each nde rprests a cntxt feature?,1
"Yes. After you save it, we can download the corresponding json file generated by the app.
","Yes. After you save it, we can d ownload the corresp onding js on fi le ge nerated by the app.",1
"If I accidently delete the node, can I recover it?","If I +accid6etntly delrete the node, can I rbewcover it?",1
Is there any other way to merge two context trees? I don't want to build the merged tree from scratch.,Is there any oter way to mrge two cntet trees? I don ' t wat to build the merge tre fro scratch.,1
"Select tree/file from dropdown list. Tree will be displayed.
",Select tree / file frm dropdown list. Tee will be dslayed.,1
"Ok, you can go Go to Login → Get Started → DATA ADMINISTRATION 1. Select JSON File 2. Select File Type (Input,Context or Output) 3. Click submit.","i considering that, but can maybe maybe a little bit further explanation?",0
What functions are supported by the tool?,Whta functions are supported by the otol?,1
"Go to  Login → Get Started → DATA ADMINISTRATION
",Wha forma does the app support?,0
"Of course. Mouse hover on a node and right click. Choose the ""Create Child Node"" option. You can customize the nodes to be added in the popup window.
","Of c ourse. Mouse ho ver on a no de and right c lick. Choose the "" Crea te C hild Node "" op tion. You can c ustomize the nodes to be added in the pop up w indow.",1
"Yes, that's one way. Another way is to modify the json file directly.
",Application outpt is stored in the for of String. his otput is generat by the application.,0
What’s the recommended number of input features for a context tree? Is there any limit?,What ’ s the reomeded numer of input eature for a context tree? Is thre any limt?,1
currently this module is under development,Move mosue over the onde. Right lcick on it and opiton to edlete the ndoe will be displayed.,0
Move the mouse over the node. Right click on it and select “Rename Node” option. A popup window will open.Change name and Click rename.,move the mouse over any word. now click on it and do “ search from user option. a popup screen will appear. click name and click rename.,1
 Is there any plan?,"no problem. i let you know, when you picked a node, some list of nodes would be automatically selected according its nodes ( a - z ).",0
Can I set the test cases number for each test case branch? ,can i set the test series cases branch number digit for each test case branch?,1
"Understand, thanks","come understand, thanks",1
"I understand
",i degree,1
Can I input the limitation number?,can i find her limitation number?,1
"No, Thanks for your help.
","anyway, thanks and your help.",1
"Yes. After you save it, we can download the corresponding json file generated by the app.
","I unde rstand t hat, but can you p rovide a little bit more ex planation?",0
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more number of test cases will be generated.
",No.,0
currently this module is under development,Thakns. Can I use scratching ipnut calsisfiactino file.,0
Sounds great. How can I delete nodes from input classification?,Sounds lgreat. How can I )delete nodes from input classi7fica)tifoAn?,1
Can I set the test cases number for each test case branch? ,"oh, sorry to inform you about that since our context tree now only supports opening up up to 3 further levels of design. i am particularly afraid you have to get rid of the corresponding 4th level or you simplify your design to accept 3 levels.",0
"Our system doesn't have nodes limitationn.
",his system doesn't share any limitationn.,1
"Yes. We plan to support it in later version
",yes. we plan to support shipping it worldwide in its later version,1
 We are in the process of reconfiguring the UI this feature will be removed,"the great! if i want to just modify the existing tree, i need it to upload the file again again?",0
"Expected output is generated from the output tree. Application output is generated after the execution of test cases. Expected output tree will be used to compare actual application output to rate the quality。
",user expected application output is generated from the output input tree. application output is generated after the execution of test cases. expected output output the tree data will be used to quickly compare actual application performance output to rate the performance quality and 。,1
"How can I zoom in the tree I built, because all the nodes are squeezed together?","but how can i zoom in upon the tree model i first built, because all the nodes are squeezed tighter together?",1
"Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Drag and rearrange nodes feature is available . 
",close to zero → get started... avoid administration with graph. merge and rearrange nodes feature extensions available.,1
"Understand, thanks","okay, thanks",1
Application output as the output for the final stage?,Application o utput as the output for the f inal st age?,1
"Yes, you can right click, select 'create child node' option.A popup window will open. There is a plus(+) symbol on the popup window. With this you can add as many nodes required,then click create to add nodes to the tree.","yes, you can simply click, select'create a generator'option. a popup window at start. there is a plus ( + ) symbol on the popup window. with this click must add as many variables required, then click create to add capacity to the program.",1
"Right now, we only accept JSON file.
",you can simplify back to back button.,0
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more number of test cases will be generated.
",The 3tree should have 8only three levels. There is no limit on the number of nodehs and chilcd nodes. Higher the nodes more numRber of tesGt cadses wilRl be tgeneprated.,1
What type of input classification file can I upload?,Whalt ptype of input classification file can I uplcoad?,1
"Sure.""For creating node:Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move the mouse over the node.Right click on it and select “Create Child Node” option.A popup window will open. Add name for the node and click create.""",What fu!ncGtions are supported by the toLol?,0
Where to check the test case execution status?,now move the mouse pad over at the left node. right click on it top and down select “ rename by node ” string option. a popup window file will open. change name view and click rename.,0
For output generation?,"For a gi ven image or video, which featu res are co nsidered context?",0
"Our system doesn't provide recovery.
","Atuall, there is no rericions. Howve, more ndes will take more time to gnerat tst cases and modeling inputs.",0
"Yes, you do need to do that.
","I am srry. User are not allowed to do hat directly. Noes and child Nodes are sorted base on name (A - Z) aftr ech actio (add, dlete and rname ).",0
"Once the “test case group” is created, users can edit input,context and output trees. Basically, you can generate the test case group first and then edit the information.
","Sorr, if the etork connection is lost, we wil not be able to rcovr wha you created. Try to sve the fle ofen.",0
"Ok, thanks. I was able to delete the nodes from input classfication.","ok, yeah thanks. and i just was able managed to delete the following nodes from input classfication.",1
"Test cases can be generated for any type of application
",Test casse can be generated for any tyep of papcliation,1
How to fix submission button doesn't work?,How to fix submission button doens ' t owrk?,1
"I am sorry. Users are not allowed to do that directly. Nodes and child Nodes are sorted based on name (A-Z) after each action (add, delete and rename).
","i am almost sorry. web users worldwide are not generally allowed to do exactly that anymore directly. nodes and child nodes are sorted based on the name ( a - z ) after doing each fixed action ( add, result delete and rename ).",1
I mean in genneral.,"so, you cannot go to login - > get started - > test case group, go select appropriate test case group, scroll it right till you see each action column. hover over each action button to see game description, click ‘ view test cases ’. then you will be shown in input test classes. have i solve your problem?",0
For deleteing node:Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH  Move mouse over the node.Right click on it and option to delete the node will be displayed,For deleftMeing inode: Navigation: Login → Get Stayrte#d → DATA ADMINISTRATION WI^TH GRAPH Move mmouse oveBr the nowde. Right click on it and option to deRlete the noSde will be d#isplpayed,1
Can we have more detailed information about the child nodes?,Can we ha ve more d etailed information a bout the child nodes?,1
What is the difference between expected output and application output?,move all mouse over the node. if right click on using it itself and option or to delete the node will be not displayed.,0
What is the difference between expected output and application output?,hangs up over adjacent node. only jump on it while option to delete the node will be displayed.,0
Then?,Th en?,1
Do you know where I can find my input testing cases?,just what do you mean by their previous stage?,0
No. This feature will need to be developed.,No. Thsi feature will ened to be developed.,1
Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Select tree/file from dropdown list. Tree will be displayed.,go by login → file results → data administration see graph of tree / file name for list. tree will be displayed.,1
"You can try Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move mouse over the node.Right click on it and option to delete the node will be displayed.
",how to export his picture? can i implement the report instead without going backwards and forth?,0
Are you talking about adding nodes in input classification tree?,are you still talking about adding new nodes in my input classification tree?,1
"The tree should have only three levels. There is no limit on the number of nodes and child nodes. Higher the nodes more no of test cases will be generated.So if possible create trees with key values.
",what information format is the java application stored as?,0
For output generation?,support for output generation?,1
What type of action is for deleted test case?,There is no limit to the numer of noes you can creae at each levl. You can add odes as eeded.,0
"If I add more than 10 nodes at a level, would it be too much?","If I add m ore th an 10 n odes at a l evel, w ould it be too much?",1
I saved! Where can I find the saved version.,good hope! where can i find the japanese version.,1
How can I delete a node?,How can I dele te a n ode?,1
Can I add multiple nodes to my context tree at once?,What do you mean by p revious s tage?,0
yes.,yes.,1
Do you have any more question?,search for perhaps the deleted input or context test case?,0
Got it. It’s the test cases organization method,Go to Login → Get YStarlted → DATA ADM^IXNISTRAgTIOQN WITH GRAPH Select tree / file hfrom drSopdowwn alist. Tr%ee cwill be displayed.,0
Do you mean the output file version? Or the input file version?,"yes, thanks. that can... i change the colour color of node?",0
"Delete action is hard delete. I.e., you cannot view the test case once deleted.
","Yes, you are right! So far, our con text tr ee on ly suppor ts 3 lev els. W hen designing the context tr ee, be caref ul to the l evel restriction.",0
Yes please.,that please.,1
"No
",No,1
Can I merge two context trees into a single one online?,can i help merge the two context knowledge trees into a single one online?,1
Where can I store the output information?,Go to Login → Get Srted → DATA ADMINISTRATION WIT GAPH,0
"Expected output is generated from output tree and stored as tree (similar to the input and context tree).
",JSO. You hould build you context tree as a json file.,0
No.Also User should not use same login with currently with multiple browser.,did you save this? you can also obtain info about the saved tree.,0
Can I input the limitation number?,1. click and hold out move it around.,0
"Of course. Mouse hover on a node and right click. Choose the ""Create Child Node"" option. You can customize the nodes to be added in the popup window.","of presence. mouse operator on the node and right click. choose the "" hello child node "" configuration. software must preview each nodes to be added in the boot window.",1
 We are in the process of reconfiguring the UI this feature will be removed,json. you both should indeed build your digital context tree locally as a json file.,0
"JSON. You should build your context tree as a json file.
",if we really are in... the process of reconfiguring the ui this ui feature will be soon removed,0
 Yes. Please reset my password.,Yes. P&lease re^set my password.,1
"I tried to upload csv file, but it failed.","i then tried to automatically upload csv to file, but it failed.",1
How can I find the input classification file?,of how can i find back the input classification file?,1
Sure. You can choose to upload files or create online.,S ure. You can choose to upl oad fil es or create online.,1
"Yes. After you save it, we can download the corresponding json file generated by the app.",that you suggest not to do this?,0
"Expected output tree will be used to compare actual application output to rate the quality.
",what type of metadata classification file can be load?,0
"Hello, I can’t find the delete button for input classification nodes. Can you help me?Sure. Move mouse over the node. Right click on it and option to delete the node will be displayed.",what do you me(an,0
"I don't know
","actually, there often is typically no such restrictions. however, the more nodes will typically take more time to generate test cases and test modeling inputs.",0
What type of input classification file can I upload?,then what type version of input classification or file can i upload?,1
"You can customize your context features by simply changing the labels of nodes, adding or deleting nodes in the context tree.
",Can I do that anualy?,0
"Alternatively, You can delete the extra test cases
","Absolutely! There are two ways: First move your mouse over the node, right click then select ‘ create child node ’ option. A popup windwo will open. There is a plus (+) sybmol on the popup window. Iwth htis you can add as many ndoes required, then click craete to add nodes to the tree. The second way is move your moues over the node, right click then select ‘ create 5 nodes ’ option to add five child noeds with default names. Hten select the noed to rename with appropriate values.",0
Can multiple users share a project and work together?,can multiple users share together a global project and they work together?,1
"You can organize your context features into a tree structure level by level. A parent node presents a context feature, and a child node presents a subfeature of that context feature.
","applications can organize multiple context features into another tree structure level by thread. a parent node creates a context object, where a child thread is the subfeature of that context feature.",1
What kinds of AI applications can be tested by this tool? Can I test NLP applications? ,W2hat kinds of AI aCpplicatiGonos can be testFed by this Ftool? Can I tesit NLP applications?,1
 Currently the app is in the development stage. So the performance capabilities are limited and not supported.,currently these app are in early development phases. so the performance capabilities are unavailable and not supported.,1
"Yes, you can. Just drag and rearrange the nodes in your tree.","yeah, you can. but drag and rearrange these nodes in yer body.",1
 All kinds of AI application.,You can try _Najvighation: Login → Get Stfarpted → DATA 0AD&MINISTRAjTIOVN WITH (GRAPH Move kmouse o5ver the Nnode. Rzight click on it and optioWn to dellete the node will be displayed.,0
Can I have 20 child nodes for the parents nodes?,or can i have a 20 child nodes as for the parents nodes?,1
"Thanks for your suggestion. We'll think about it.
",although currently we do still not have this facility. users will need to place contact in the admin,0
"Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH Select tree/file from dropdown list. Tree will be displayed.
",Go to Login → Get Statrde → DATA ADMINISTRATION IWTH GARPH Select tree / fiel from dropdnow lits. Tree will be dsiplayde.,1
"You can simply provide input for the test cases and then perform the execute test case action.
",you can simply provide coordinates for the tested cases and thereby create the same test case action.,1
"You can modify it offline and then upload the modified file, or modify online in the workspace and save the updated version.
",it ’ s necessary no more cooperation.,0
"Yes, you are right! So far, our context tree only supports 3 levels. When designing the context tree, be careful to the level restriction.
","no, one user can absolutely t login in that browser.",0
Absolutely. Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move the mouse over the node.Right click on it and select “Create Child Node” option.A popup window will open. Add name for the node and click create.,Absolutely. Go to Logni → Get Straetd → DATA ADMINISTRATION WIHT GRAPH Omve the moues voer the node. Right click on it and select “ Create Child Node ” option. A popup iwndow will open. Add anme for the onde and clikc create.,1
"Go to  Login → Get Started → Test Case Group
",go to login and get back → test case...,1
"what do you mean
",what do believe you mean,1
For the deleted input or context test case?,and you have any specific question?,0
"Yep! Each node in the context tree stands for a context feature you designed. Besides, just let you know, you can enter subnodes as subfeatures as well.
",did he set specific preparation time for the test cases?,0
Go to Login → Get Started → DATA ADMINISTRATION WITH GRAPH Move the mouse over the node.Right click on it and select “Rename Node” option.A popup window will open.Change name and Click rename,Can we have customized shae of nodes when drawn the tre?,0
Name the files accordingly and store multiple versions of the file. Also copy tree function is available,Name the files acrcqording$ly and stuore multiple ve2rsioXns of the file. Alaso copy tree function is availa0b^le,1
"Sorry, we don’t have this option.","Sorry, we don ’ t hvae htis optino.",1
"May I ask how many nodes in your context tree?
",may i ask how these facts in your context held?,1
"No, I don't quite understand you question.
",the tree should have strength only if three different levels. there are is usually no limit base on the number of nodes and child nodes. higher on the nodes more no of test cases will be generated. so would if is possible create trees with key power values.,0
"Absolutely! There are two ways: First move your mouse over the node, right click then select ‘create child node’ option. A popup window will open. There is a plus(+) symbol on the popup window. With this you can add as many nodes required, then click create to add nodes to the tree. The second way is move your mouse over the node, right click then select ‘create 5 nodes’ option to add five child nodes with default names. Then select the node to rename with appropriate values. Thank you! Can I upload my input classification?","Absolutely! There are two ways: First move your mouse over the node, right click then seletc ‘ cretae child node ’ opiton. A oppup window will open. There is a plsu (+) symbol on the popup wnidow. With this you can add as many ondes required, then click create to add nodes to the tree. The second way is move your mouse over the node, right click then select ‘ create 5 nodes ’ potion to add five child nodse iwth default names. Then select the node to rename with appropriate values. Thank you! Can I upload my input classification?",1
"Yep! Each node in the context tree stands for a context feature you designed. Besides, just let you know, you can enter subnodes as subfeatures as well.
","No, deete action is hard delte.",0
"I don't understand
",i don't exactly understand,1
Yes.,It ’ s neeedd to ismpilfy the work,0
"I’d like to turn a sub-feature into a higher level feature, and how can I make this modification?","i ’ d like to turn the a sub - feature into both a very higher level security feature, and how else can i successfully make such this modification?",1
"Yes, it will be delivered soon
","Yes, it will be delivqerved sooGn",1
